"path";"id";"parent_id";"level";"object_id";"object_type";"query_status";"query_time";"query_type";"id";"created_time";"status_type";"type";"properties.0.text";"message";"link";"permalink_url";"comments.summary.total_count";"shares.count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"wow.summary.total_count";"haha.summary.total_count";"sad.summary.total_count";"angry.summary.total_count"
"jairmessias.bolsonaro/211857482296579_1718728921609420/211857482296579_1718728921609420";"626";"6";"2";"211857482296579_1718728921609420";"data";"fetched (200)";"2020-05-26 13:08:43.346635";"Facebook:/<post-id>";"211857482296579_1718728921609420";"";"";"";"";"";"";"";"2673";"5943";"39735";"35430";"3330";"782";"43";"116";"34"
"jairmessias.bolsonaro/211857482296579_1717749905040655";"7";"1";"1";"211857482296579_1717749905040655";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_1717749905040655";"2019-12-24T23:46:02+0000";"added_video";"video";"02:05";"- De 1955 ☆ até onde Ele me permitir servir à minha Pátria.";"https://www.facebook.com/jairmessias.bolsonaro/videos/2615811941984623/";"https://www.facebook.com/211857482296579/posts/1717749905040655/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_1717749905040655/211857482296579_1717749905040655";"627";"7";"2";"211857482296579_1717749905040655";"data";"fetched (200)";"2020-05-26 13:08:43.733940";"Facebook:/<post-id>";"211857482296579_1717749905040655";"";"";"";"";"";"";"";"7418";"15804";"93458";"78784";"14026";"475";"127";"25";"21"
"jairmessias.bolsonaro/211857482296579_1717169675098678";"8";"1";"1";"211857482296579_1717169675098678";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_1717169675098678";"2019-12-24T12:54:02+0000";"mobile_status_update";"status";"";"- Da série João 8:32 (9):  - O futuro do Brasil depende do esforço de cada um de nós. Não cobre, de uma única pessoa, a solução do que foi destruído, por décadas, pela ação dos maus e omissão dos bons.  -  Eclesiastes 4:10 - porque se um cair o outro levanta o seu companheiro; mas ai do que estiver só; pois, caindo, não haverá outro que o levante.";"";"https://www.facebook.com/211857482296579/posts/1717169675098678/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_1717169675098678/211857482296579_1717169675098678";"628";"8";"2";"211857482296579_1717169675098678";"data";"fetched (200)";"2020-05-26 13:08:44.039282";"Facebook:/<post-id>";"211857482296579_1717169675098678";"";"";"";"";"";"";"";"10086";"8931";"100330";"88969";"10569";"450";"285";"26";"31"
"jairmessias.bolsonaro/211857482296579_1714964591985853";"9";"1";"1";"211857482296579_1714964591985853";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_1714964591985853";"2019-12-22T12:56:42+0000";"added_video";"video";"00:11";"- PODER EM FOCO, nesse domingo, após o programa SILVIO SANTOS.";"https://www.facebook.com/jairmessias.bolsonaro/videos/1348244168678727/";"https://www.facebook.com/211857482296579/posts/1714964591985853/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_1714964591985853/211857482296579_1714964591985853";"629";"9";"2";"211857482296579_1714964591985853";"data";"fetched (200)";"2020-05-26 13:08:44.356409";"Facebook:/<post-id>";"211857482296579_1714964591985853";"";"";"";"";"";"";"";"1340";"4902";"32263";"29700";"2170";"265";"102";"3";"23"
"jairmessias.bolsonaro/211857482296579_1714784955337150";"10";"1";"1";"211857482296579_1714784955337150";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_1714784955337150";"2019-12-22T09:21:31+0000";"mobile_status_update";"status";"";"- Nota de Esclarecimento do Ministério de Minas e Energia (MME):*l  - A citação publicada pelo jornal O Globo (21/dez), sobre possibilidade de racionamento de energia elétrica em 2020, não corresponde a realidade do setor elétrico brasileiro.  - Não haverá falta de energia, mesmo que haja crescimento da economia acima de 2,5%. A cada ano, o MME vem contratando um conjunto de empreendimentos de diversas fontes de energia (eólica, solar, biomassa, térmicas e pequenas centrais hidrelétricas  etc), suficientes para atender o crescimento econômico e sustentável do País.  - O investidor acredita no mercado brasileiro, tanto que, no último leilão de contratação de geração de energia de 2019 foram cadastrados mais de 100 GW em projetos, que seriam suficientes para atender o crescimento econômico e a demanda do país por energia, pelos próximos 12 anos.  - Adicionalmente, a segurança do suprimento eletroenergético nacional é avaliada continuamente pelo Comitê de Monitoramento do Setor Elétrico - CMSE, presidido pelo Ministro de Minas e Energia, juntamente com a ANEEL, a ANP, o  ONS, a EPE e a CCEE. Portanto o MME está preparado para expandir o setor de forma contínua, com confiabilidade e segurança, para garantir o fornecimento de energia sociedade .  - PR JAIR BOLSONARO - MME BENTO ALBUQUERQUE";"";"https://www.facebook.com/211857482296579/posts/1714784955337150/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_1714784955337150/211857482296579_1714784955337150";"630";"10";"2";"211857482296579_1714784955337150";"data";"fetched (200)";"2020-05-26 13:08:44.767761";"Facebook:/<post-id>";"211857482296579_1714784955337150";"";"";"";"";"";"";"";"4078";"11238";"78044";"73399";"4054";"400";"131";"10";"50"
"jairmessias.bolsonaro/211857482296579_1713976298751349";"11";"1";"1";"211857482296579_1713976298751349";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_1713976298751349";"2019-12-21T16:22:53+0000";"added_video";"video";"03:10";"- Alexandre Garcia: o 1° ano do Governo Jair Bolsonaro.";"https://www.facebook.com/jairmessias.bolsonaro/videos/974067119645936/";"https://www.facebook.com/211857482296579/posts/1713976298751349/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_1713976298751349/211857482296579_1713976298751349";"631";"11";"2";"211857482296579_1713976298751349";"data";"fetched (200)";"2020-05-26 13:08:44.995377";"Facebook:/<post-id>";"211857482296579_1713976298751349";"";"";"";"";"";"";"";"4589";"31596";"91368";"83175";"7020";"327";"796";"12";"38"
"jairmessias.bolsonaro/211857482296579_998152100570522";"12";"1";"1";"211857482296579_998152100570522";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_998152100570522";"2019-12-20T21:16:00+0000";"added_video";"video";"47:51";"";"https://www.facebook.com/jairmessias.bolsonaro/videos/998152100570522/";"https://www.facebook.com/jairmessias.bolsonaro/videos/998152100570522/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_998152100570522/211857482296579_998152100570522";"632";"12";"2";"211857482296579_998152100570522";"data";"fetched (200)";"2020-05-26 13:08:45.294268";"Facebook:/<post-id>";"211857482296579_998152100570522";"";"";"";"";"";"";"";"10135";"5393";"58501";"50916";"6919";"150";"377";"38";"101"
"jairmessias.bolsonaro/211857482296579_2388743134565692";"13";"1";"1";"211857482296579_2388743134565692";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_2388743134565692";"2019-12-20T20:47:57+0000";"added_video";"video";"04:43";"";"https://www.facebook.com/jairmessias.bolsonaro/videos/2388743134565692/";"https://www.facebook.com/jairmessias.bolsonaro/videos/2388743134565692/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_2388743134565692/211857482296579_2388743134565692";"633";"13";"2";"211857482296579_2388743134565692";"data";"fetched (200)";"2020-05-26 13:08:45.700471";"Facebook:/<post-id>";"211857482296579_2388743134565692";"";"";"";"";"";"";"";"9032";"8012";"54951";"47898";"6309";"157";"480";"24";"83"
"jairmessias.bolsonaro/211857482296579_585678655578709";"14";"1";"1";"211857482296579_585678655578709";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_585678655578709";"2019-12-20T11:44:28+0000";"added_video";"video";"22:59";"";"https://www.facebook.com/jairmessias.bolsonaro/videos/585678655578709/";"https://www.facebook.com/jairmessias.bolsonaro/videos/585678655578709/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_585678655578709/211857482296579_585678655578709";"634";"14";"2";"211857482296579_585678655578709";"data";"fetched (200)";"2020-05-26 13:08:46.032737";"Facebook:/<post-id>";"211857482296579_585678655578709";"";"";"";"";"";"";"";"7708";"3603";"38465";"32612";"5220";"104";"415";"21";"93"
"jairmessias.bolsonaro/211857482296579_2524332351176090";"15";"1";"1";"211857482296579_2524332351176090";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_2524332351176090";"2019-12-19T22:03:10+0000";"added_video";"video";"44:19";"";"https://www.facebook.com/jairmessias.bolsonaro/videos/2524332351176090/";"https://www.facebook.com/jairmessias.bolsonaro/videos/2524332351176090/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_2524332351176090/211857482296579_2524332351176090";"635";"15";"2";"211857482296579_2524332351176090";"data";"fetched (200)";"2020-05-26 13:08:46.352113";"Facebook:/<post-id>";"211857482296579_2524332351176090";"";"";"";"";"";"";"";"12632";"8056";"49733";"43261";"5558";"160";"531";"43";"180"
"jairmessias.bolsonaro/211857482296579_791108251387168";"16";"1";"1";"211857482296579_791108251387168";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_791108251387168";"2019-12-19T18:28:21+0000";"added_video";"video";"35:24";"";"https://www.facebook.com/jairmessias.bolsonaro/videos/791108251387168/";"https://www.facebook.com/jairmessias.bolsonaro/videos/791108251387168/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_791108251387168/211857482296579_791108251387168";"636";"16";"2";"211857482296579_791108251387168";"data";"fetched (200)";"2020-05-26 13:08:46.686879";"Facebook:/<post-id>";"211857482296579_791108251387168";"";"";"";"";"";"";"";"3800";"2614";"29890";"26801";"2814";"70";"156";"12";"37"
"jairmessias.bolsonaro/211857482296579_785414801935822";"17";"1";"1";"211857482296579_785414801935822";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_785414801935822";"2019-12-19T11:42:04+0000";"added_video";"video";"13:58";"";"https://www.facebook.com/jairmessias.bolsonaro/videos/785414801935822/";"https://www.facebook.com/jairmessias.bolsonaro/videos/785414801935822/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_785414801935822/211857482296579_785414801935822";"637";"17";"2";"211857482296579_785414801935822";"data";"fetched (200)";"2020-05-26 13:08:47.028744";"Facebook:/<post-id>";"211857482296579_785414801935822";"";"";"";"";"";"";"";"4231";"4192";"33875";"30157";"3399";"81";"180";"6";"52"
"jairmessias.bolsonaro/211857482296579_1710378015777844";"18";"1";"1";"211857482296579_1710378015777844";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_1710378015777844";"2019-12-19T01:07:01+0000";"mobile_status_update";"status";"";"- A bolsa bate novo recorde: pela primeira vez superou 113 mil pontos e dólar caiu para R$ 4,061.  - Paulo Guedes confirma que o déficit fiscal de 2019, previsto em R$ 139 bilhões, ficará em menos de R$ 80 bilhões. Caiu praticamente pela metade.  - Menor taxa de juros de todos os tempo, Selic a 4,5%. Risco Brasil cai e chega ao menor nível desde 2010.  - Expectativa do mercado de crescimento do PIB aumenta para 1,12%. Diminuiu o desemprego com 1 milhão de novas vagas este ano.";"";"https://www.facebook.com/211857482296579/posts/1710378015777844/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_1710378015777844/211857482296579_1710378015777844";"638";"18";"2";"211857482296579_1710378015777844";"data";"fetched (200)";"2020-05-26 13:08:47.358180";"Facebook:/<post-id>";"211857482296579_1710378015777844";"";"";"";"";"";"";"";"10740";"25851";"145952";"129350";"14481";"1644";"412";"14";"51"
"jairmessias.bolsonaro/211857482296579_1708628252619487";"19";"1";"1";"211857482296579_1708628252619487";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_1708628252619487";"2019-12-17T13:29:01+0000";"mobile_status_update";"status";"";"- A situação política da Venezuela tem reflexos diretos no Estado de Roraima: aumento da violência e população de rua, piora na saúde e educação, etc.  - O novo governo da Argentina, que faz divisa com a Região Sul do Brasil (RS, SC e PR), tomou as seguintes medidas:  1) Dupla indenização para demissão sem justa causa;  2) Elevação do imposto de exportação (grãos);  3) Imposto de 30% para compras no exterior; e  4) Volta da discussão da legalização do aborto.";"";"https://www.facebook.com/211857482296579/posts/1708628252619487/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_1708628252619487/211857482296579_1708628252619487";"639";"19";"2";"211857482296579_1708628252619487";"data";"fetched (200)";"2020-05-26 13:08:47.665294";"Facebook:/<post-id>";"211857482296579_1708628252619487";"";"";"";"";"";"";"";"3898";"3705";"44070";"36039";"240";"593";"206";"4274";"2718"
"jairmessias.bolsonaro/211857482296579_1707373476078298";"20";"1";"1";"211857482296579_1707373476078298";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_1707373476078298";"2019-12-16T13:56:13+0000";"added_video";"video";"07:44";"- Alvorada, 16/dezembro/2019.";"https://www.facebook.com/jairmessias.bolsonaro/videos/800974000419943/";"https://www.facebook.com/211857482296579/posts/1707373476078298/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_1707373476078298/211857482296579_1707373476078298";"640";"20";"2";"211857482296579_1707373476078298";"data";"fetched (200)";"2020-05-26 13:08:48.051875";"Facebook:/<post-id>";"211857482296579_1707373476078298";"";"";"";"";"";"";"";"3014";"8357";"58965";"54802";"3615";"136";"356";"17";"39"
"jairmessias.bolsonaro/211857482296579_457057721660641";"21";"1";"1";"211857482296579_457057721660641";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_457057721660641";"2019-12-16T11:28:55+0000";"added_video";"video";"15:24";"";"https://www.facebook.com/jairmessias.bolsonaro/videos/457057721660641/";"https://www.facebook.com/jairmessias.bolsonaro/videos/457057721660641/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_457057721660641/211857482296579_457057721660641";"641";"21";"2";"211857482296579_457057721660641";"data";"fetched (200)";"2020-05-26 13:08:48.411163";"Facebook:/<post-id>";"211857482296579_457057721660641";"";"";"";"";"";"";"";"7147";"2849";"37047";"31527";"5211";"85";"165";"18";"41"
"jairmessias.bolsonaro/211857482296579_1707191716096474";"22";"1";"1";"211857482296579_1707191716096474";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_1707191716096474";"2019-12-16T10:43:19+0000";"added_video";"video";"03:06";"- RECORD: Brasil inaugura, em Jerusalém, escritório da APEX com presença de Benjamin Netanyahu e Eduardo Bolsonaro.";"https://www.facebook.com/jairmessias.bolsonaro/videos/552302318682396/";"https://www.facebook.com/211857482296579/posts/1707191716096474/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_1707191716096474/211857482296579_1707191716096474";"642";"22";"2";"211857482296579_1707191716096474";"data";"fetched (200)";"2020-05-26 13:08:48.740774";"Facebook:/<post-id>";"211857482296579_1707191716096474";"";"";"";"";"";"";"";"1099";"4192";"29346";"26662";"2414";"203";"44";"4";"19"
"jairmessias.bolsonaro/211857482296579_2533617796759952";"23";"1";"1";"211857482296579_2533617796759952";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_2533617796759952";"2019-12-15T15:11:08+0000";"added_video";"video";"15:15";"";"https://www.facebook.com/jairmessias.bolsonaro/videos/2533617796759952/";"https://www.facebook.com/jairmessias.bolsonaro/videos/2533617796759952/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_2533617796759952/211857482296579_2533617796759952";"643";"23";"2";"211857482296579_2533617796759952";"data";"fetched (200)";"2020-05-26 13:08:49.079426";"Facebook:/<post-id>";"211857482296579_2533617796759952";"";"";"";"";"";"";"";"7500";"3440";"42569";"35731";"6382";"116";"250";"16";"74"
"jairmessias.bolsonaro/211857482296579_1705566146259031";"24";"1";"1";"211857482296579_1705566146259031";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_1705566146259031";"2019-12-14T23:10:07+0000";"added_video";"video";"03:01";"- BOA NOITE A TODOS. - Alvorada, 14/dezembro.";"https://www.facebook.com/jairmessias.bolsonaro/videos/804377759988392/";"https://www.facebook.com/211857482296579/posts/1705566146259031/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_1705566146259031/211857482296579_1705566146259031";"644";"24";"2";"211857482296579_1705566146259031";"data";"fetched (200)";"2020-05-26 13:08:49.409638";"Facebook:/<post-id>";"211857482296579_1705566146259031";"";"";"";"";"";"";"";"2830";"3161";"45576";"42221";"3024";"167";"112";"11";"41"
"jairmessias.bolsonaro/211857482296579_1519594344873131";"25";"1";"1";"211857482296579_1519594344873131";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_1519594344873131";"2019-12-14T19:19:00+0000";"added_video";"video";"04:18";"";"https://www.facebook.com/jairmessias.bolsonaro/videos/1519594344873131/";"https://www.facebook.com/jairmessias.bolsonaro/videos/1519594344873131/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_1519594344873131/211857482296579_1519594344873131";"645";"25";"2";"211857482296579_1519594344873131";"data";"fetched (200)";"2020-05-26 13:08:49.774967";"Facebook:/<post-id>";"211857482296579_1519594344873131";"";"";"";"";"";"";"";"3699";"1496";"27425";"23283";"3881";"70";"142";"12";"37"
"jairmessias.bolsonaro/211857482296579_1705216432960669";"26";"1";"1";"211857482296579_1705216432960669";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_1705216432960669";"2019-12-14T16:53:01+0000";"added_video";"video";"01:28";"- SEMANA DO PRESIDENTE.  - 09 a 13 de DEZEMBRO/19.";"https://www.facebook.com/jairmessias.bolsonaro/videos/462093091170398/";"https://www.facebook.com/211857482296579/posts/1705216432960669/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_1705216432960669/211857482296579_1705216432960669";"646";"26";"2";"211857482296579_1705216432960669";"data";"fetched (200)";"2020-05-26 13:08:50.129453";"Facebook:/<post-id>";"211857482296579_1705216432960669";"";"";"";"";"";"";"";"795";"1809";"16244";"14964";"1165";"81";"27";"1";"6"
"jairmessias.bolsonaro/211857482296579_1042565639415917";"28";"1";"1";"211857482296579_1042565639415917";"data";"fetched (200)";"2020-05-26 13:08:03.975130";"Facebook:/<page-id>/posts";"211857482296579_1042565639415917";"2019-12-14T16:37:26+0000";"added_video";"video";"03:36";"";"https://www.facebook.com/jairmessias.bolsonaro/videos/1042565639415917/";"https://www.facebook.com/jairmessias.bolsonaro/videos/1042565639415917/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_1042565639415917/211857482296579_1042565639415917";"647";"28";"2";"211857482296579_1042565639415917";"data";"fetched (200)";"2020-05-26 13:08:50.457995";"Facebook:/<post-id>";"211857482296579_1042565639415917";"";"";"";"";"";"";"";"3911";"1576";"28523";"24333";"3937";"72";"127";"11";"43"
"jairmessias.bolsonaro/211857482296579_581367149319248";"29";"1";"1";"211857482296579_581367149319248";"data";"fetched (200)";"2020-05-26 13:08:03.975130";"Facebook:/<page-id>/posts";"211857482296579_581367149319248";"2019-12-13T12:09:26+0000";"added_video";"video";"21:18";"";"https://www.facebook.com/jairmessias.bolsonaro/videos/581367149319248/";"https://www.facebook.com/jairmessias.bolsonaro/videos/581367149319248/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_581367149319248/211857482296579_581367149319248";"648";"29";"2";"211857482296579_581367149319248";"data";"fetched (200)";"2020-05-26 13:08:50.800903";"Facebook:/<post-id>";"211857482296579_581367149319248";"";"";"";"";"";"";"";"10259";"7902";"60137";"49231";"10316";"169";"321";"32";"68"
"jairmessias.bolsonaro/211857482296579_2514293038837412";"30";"1";"1";"211857482296579_2514293038837412";"data";"fetched (200)";"2020-05-26 13:08:03.975130";"Facebook:/<page-id>/posts";"211857482296579_2514293038837412";"2019-12-12T22:01:31+0000";"added_video";"video";"26:08";"";"https://www.facebook.com/jairmessias.bolsonaro/videos/2514293038837412/";"https://www.facebook.com/jairmessias.bolsonaro/videos/2514293038837412/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_2514293038837412/211857482296579_2514293038837412";"649";"30";"2";"211857482296579_2514293038837412";"data";"fetched (200)";"2020-05-26 13:08:51.162464";"Facebook:/<post-id>";"211857482296579_2514293038837412";"";"";"";"";"";"";"";"14191";"11478";"57352";"49383";"7321";"162";"297";"45";"144"
"jairmessias.bolsonaro/211857482296579_1702340489914930";"31";"1";"1";"211857482296579_1702340489914930";"data";"fetched (200)";"2020-05-26 13:08:03.975130";"Facebook:/<page-id>/posts";"211857482296579_1702340489914930";"2019-12-12T12:51:16+0000";"mobile_status_update";"status";"";"Você é favorável ao retorno dos radares móveis em rodovias federais?";"";"https://www.facebook.com/211857482296579/posts/1702340489914930/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_1702340489914930/211857482296579_1702340489914930";"650";"31";"2";"211857482296579_1702340489914930";"data";"fetched (200)";"2020-05-26 13:08:51.490677";"Facebook:/<post-id>";"211857482296579_1702340489914930";"";"";"";"";"";"";"";"12690";"10997";"44050";"40005";"2316";"136";"1289";"59";"245"
"jairmessias.bolsonaro/211857482296579_1701135873368725";"32";"1";"1";"211857482296579_1701135873368725";"data";"fetched (200)";"2020-05-26 13:08:03.975130";"Facebook:/<page-id>/posts";"211857482296579_1701135873368725";"2019-12-11T19:14:12+0000";"added_video";"video";"01:46";"- Emílio Garrastazu Médici reconhecido e aplaudido na Presidência. - Respeito e liberdade é o nosso lema...";"https://www.facebook.com/jairmessias.bolsonaro/videos/2394529120797939/";"https://www.facebook.com/211857482296579/posts/1701135873368725/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_1701135873368725/211857482296579_1701135873368725";"651";"32";"2";"211857482296579_1701135873368725";"data";"fetched (200)";"2020-05-26 13:08:51.783004";"Facebook:/<post-id>";"211857482296579_1701135873368725";"";"";"";"";"";"";"";"602";"1756";"20295";"18749";"1401";"68";"52";"3";"22"
