,index,id,parent_id,level,id.1,created_time,status_type,type,properties.0.text,message,link,permalink_url,comments.summary.total_count,shares.count,reactions.summary.total_count,like.summary.total_count,love.summary.total_count,wow.summary.total_count,haha.summary.total_count,sad.summary.total_count,angry.summary.total_count
12,26,634,14,2,211857482296579_585678655578709,,,,,,,,7708.0,3603.0,38465.0,32612.0,5220.0,104.0,415.0,21.0,93.0
13,28,635,15,2,211857482296579_2524332351176090,,,,,,,,12632.0,8056.0,49733.0,43261.0,5558.0,160.0,531.0,43.0,180.0
14,30,636,16,2,211857482296579_791108251387168,,,,,,,,3800.0,2614.0,29890.0,26801.0,2814.0,70.0,156.0,12.0,37.0
15,32,637,17,2,211857482296579_785414801935822,,,,,,,,4231.0,4192.0,33875.0,30157.0,3399.0,81.0,180.0,6.0,52.0
16,34,638,18,2,211857482296579_1710378015777844,,,,,,,,10740.0,25851.0,145952.0,129350.0,14481.0,1644.0,412.0,14.0,51.0
17,36,639,19,2,211857482296579_1708628252619487,,,,,,,,3898.0,3705.0,44070.0,36039.0,240.0,593.0,206.0,4274.0,2718.0
18,38,640,20,2,211857482296579_1707373476078298,,,,,,,,3014.0,8357.0,58965.0,54802.0,3615.0,136.0,356.0,17.0,39.0
19,40,641,21,2,211857482296579_457057721660641,,,,,,,,7147.0,2849.0,37047.0,31527.0,5211.0,85.0,165.0,18.0,41.0
20,42,642,22,2,211857482296579_1707191716096474,,,,,,,,1099.0,4192.0,29346.0,26662.0,2414.0,203.0,44.0,4.0,19.0
21,44,643,23,2,211857482296579_2533617796759952,,,,,,,,7500.0,3440.0,42569.0,35731.0,6382.0,116.0,250.0,16.0,74.0
22,46,644,24,2,211857482296579_1705566146259031,,,,,,,,2830.0,3161.0,45576.0,42221.0,3024.0,167.0,112.0,11.0,41.0
23,48,645,25,2,211857482296579_1519594344873131,,,,,,,,3699.0,1496.0,27425.0,23283.0,3881.0,70.0,142.0,12.0,37.0
24,50,646,26,2,211857482296579_1705216432960669,,,,,,,,795.0,1809.0,16244.0,14964.0,1165.0,81.0,27.0,1.0,6.0
25,53,647,28,2,211857482296579_1042565639415917,,,,,,,,3911.0,1576.0,28523.0,24333.0,3937.0,72.0,127.0,11.0,43.0
26,55,648,29,2,211857482296579_581367149319248,,,,,,,,10259.0,7902.0,60137.0,49231.0,10316.0,169.0,321.0,32.0,68.0
27,57,649,30,2,211857482296579_2514293038837412,,,,,,,,14191.0,11478.0,57352.0,49383.0,7321.0,162.0,297.0,45.0,144.0
28,59,650,31,2,211857482296579_1702340489914930,,,,,,,,12690.0,10997.0,44050.0,40005.0,2316.0,136.0,1289.0,59.0,245.0
29,61,651,32,2,211857482296579_1701135873368725,,,,,,,,602.0,1756.0,20295.0,18749.0,1401.0,68.0,52.0,3.0,22.0
30,63,652,33,2,211857482296579_821025451673723,,,,,,,,4119.0,4218.0,44916.0,38240.0,6388.0,182.0,65.0,12.0,29.0
31,65,653,34,2,211857482296579_469698130351456,,,,,,,,2882.0,1108.0,20150.0,17564.0,2473.0,51.0,46.0,4.0,12.0
32,67,654,35,2,211857482296579_1156154527908828,,,,,,,,10496.0,16385.0,61261.0,53598.0,6894.0,248.0,310.0,65.0,146.0
33,69,655,36,2,211857482296579_1825328694268827,,,,,,,,3561.0,1065.0,24377.0,20973.0,3192.0,46.0,134.0,7.0,25.0
34,71,656,37,2,211857482296579_1696043560544623,,,,,,,,2292.0,7483.0,46944.0,41811.0,4776.0,272.0,59.0,4.0,22.0
35,73,657,38,2,211857482296579_510532002872026,,,,,,,,4709.0,1510.0,28865.0,23965.0,4599.0,79.0,158.0,14.0,50.0
36,75,658,39,2,211857482296579_485038742122777,,,,,,,,13030.0,7204.0,72434.0,60796.0,8683.0,160.0,2665.0,25.0,105.0
37,77,659,40,2,211857482296579_1693077447507901,,,,,,,,7622.0,5382.0,141607.0,123842.0,15465.0,389.0,1727.0,29.0,155.0
38,79,660,41,2,211857482296579_1692694834212829,,,,,,,,4207.0,11221.0,66310.0,58745.0,6818.0,497.0,187.0,14.0,49.0
39,81,661,42,2,211857482296579_573168013254506,,,,,,,,2149.0,1355.0,19869.0,16964.0,2738.0,64.0,76.0,7.0,20.0
40,83,662,43,2,211857482296579_1487360124761524,,,,,,,,2939.0,1558.0,24568.0,21570.0,2806.0,94.0,54.0,9.0,35.0
41,85,663,44,2,211857482296579_434647877424705,,,,,,,,17826.0,10227.0,65040.0,53406.0,10486.0,421.0,586.0,32.0,109.0
42,87,664,45,2,211857482296579_841065336312939,,,,,,,,8153.0,2896.0,38985.0,32743.0,5857.0,104.0,178.0,25.0,78.0
43,89,665,46,2,211857482296579_1690324051116574,,,,,,,,2028.0,13759.0,40688.0,37566.0,2736.0,249.0,105.0,9.0,23.0
44,91,666,47,2,211857482296579_1690156194466693,,,,,,,,3484.0,4071.0,59347.0,53498.0,4702.0,325.0,154.0,69.0,599.0
45,93,667,48,2,211857482296579_1689158701233109,,,,,,,,4619.0,5031.0,59449.0,53848.0,4399.0,331.0,756.0,23.0,92.0
46,95,668,49,2,211857482296579_453048925410649,,,,,,,,3902.0,1649.0,29768.0,25622.0,3865.0,71.0,145.0,12.0,53.0
47,97,669,50,2,211857482296579_1688204521328527,,,,,,,,1653.0,2891.0,53324.0,48644.0,4242.0,360.0,54.0,3.0,21.0
48,99,670,51,2,211857482296579_1383069365196201,,,,,,,,5418.0,2002.0,33547.0,28452.0,4726.0,86.0,228.0,10.0,45.0
49,101,671,52,2,211857482296579_1687353601413619,,,,,,,,1215.0,2591.0,21595.0,19671.0,1730.0,128.0,43.0,2.0,21.0
50,104,672,54,2,211857482296579_1686369041512075,,,,,,,,4891.0,12322.0,88166.0,77919.0,8945.0,1005.0,219.0,19.0,59.0
51,106,673,55,2,211857482296579_1686276164854696,,,,,,,,2521.0,4964.0,47502.0,43426.0,3715.0,225.0,90.0,8.0,38.0
52,108,674,56,2,211857482296579_585351135571993,,,,,,,,4371.0,1681.0,26869.0,22567.0,4035.0,73.0,134.0,12.0,48.0
53,110,675,57,2,211857482296579_2822844341096769,,,,,,,,4549.0,3311.0,30727.0,26231.0,4222.0,159.0,62.0,12.0,41.0
54,112,676,58,2,211857482296579_576024849876695,,,,,,,,2454.0,1360.0,18778.0,16161.0,2417.0,117.0,40.0,10.0,33.0
55,114,677,59,2,211857482296579_430944504246734,,,,,,,,2013.0,1707.0,20017.0,17730.0,2097.0,103.0,54.0,7.0,26.0
56,116,678,60,2,211857482296579_2468922780045738,,,,,,,,1444.0,1172.0,18775.0,16623.0,2009.0,75.0,45.0,6.0,17.0
57,118,679,61,2,211857482296579_1388034271365593,,,,,,,,1943.0,881.0,15406.0,13201.0,2071.0,69.0,40.0,4.0,21.0
58,120,680,62,2,211857482296579_536619153585541,,,,,,,,2123.0,1063.0,16379.0,14037.0,2198.0,88.0,31.0,3.0,22.0
59,122,681,63,2,211857482296579_566557157247146,,,,,,,,1881.0,1001.0,16677.0,14183.0,2296.0,138.0,35.0,6.0,19.0
60,124,682,64,2,211857482296579_816755272077748,,,,,,,,3775.0,1673.0,23777.0,19864.0,3675.0,132.0,58.0,18.0,30.0
61,126,683,65,2,211857482296579_1310831812435944,,,,,,,,22621.0,22106.0,140831.0,118652.0,20518.0,615.0,706.0,102.0,238.0
62,128,684,66,2,211857482296579_1685067231642256,,,,,,,,2702.0,3437.0,35535.0,30592.0,3402.0,105.0,1399.0,10.0,27.0
63,130,685,67,2,211857482296579_1335199196662924,,,,,,,,9820.0,5768.0,51479.0,42445.0,8436.0,143.0,341.0,33.0,81.0
64,132,686,68,2,211857482296579_533820083864876,,,,,,,,18867.0,8859.0,59893.0,49793.0,9270.0,182.0,423.0,44.0,181.0
65,134,687,69,2,211857482296579_456262038359654,,,,,,,,4522.0,1585.0,28732.0,24621.0,3859.0,69.0,128.0,8.0,47.0
66,136,688,70,2,211857482296579_1681913111957668,,,,,,,,6374.0,13397.0,79926.0,67851.0,10920.0,331.0,707.0,37.0,80.0
67,138,689,71,2,211857482296579_1677056985776614,,,,,,,,9270.0,8959.0,370078.0,281766.0,10639.0,224.0,106.0,77265.0,78.0
68,140,690,72,2,211857482296579_1676038732545106,,,,,,,,6357.0,10254.0,115442.0,107258.0,6482.0,234.0,1349.0,33.0,86.0
69,142,691,73,2,211857482296579_479633192646205,,,,,,,,16110.0,8113.0,59543.0,51447.0,7574.0,149.0,215.0,37.0,121.0
70,144,692,74,2,211857482296579_439905066551898,,,,,,,,6798.0,3943.0,44248.0,37971.0,5883.0,125.0,212.0,15.0,42.0
71,146,693,75,2,211857482296579_1671995952949384,,,,,,,,2798.0,3860.0,57681.0,53457.0,3737.0,373.0,49.0,17.0,48.0
72,148,694,76,2,211857482296579_1670472449768401,,,,,,,,5559.0,14784.0,95608.0,84234.0,10446.0,698.0,198.0,8.0,24.0
73,150,695,77,2,211857482296579_1670253453123634,,,,,,,,8807.0,102234.0,225005.0,201556.0,21511.0,1270.0,562.0,17.0,89.0
74,152,696,78,2,211857482296579_1669649233184056,,,,,,,,4707.0,5089.0,139647.0,126895.0,11003.0,312.0,1312.0,36.0,89.0
75,155,697,80,2,211857482296579_1669418419873804,,,,,,,,3209.0,9560.0,70745.0,62837.0,7202.0,555.0,128.0,1.0,22.0
76,157,698,81,2,211857482296579_1669381626544150,,,,,,,,3402.0,11919.0,76006.0,70173.0,4697.0,247.0,661.0,18.0,210.0
77,159,699,82,2,211857482296579_2509008062669015,,,,,,,,10267.0,9765.0,73212.0,61121.0,11279.0,319.0,389.0,17.0,87.0
78,161,700,83,2,211857482296579_1667910003357979,,,,,,,,1671.0,1867.0,31703.0,28163.0,2580.0,90.0,844.0,1.0,25.0
79,163,701,84,2,211857482296579_1667584146723898,,,,,,,,5503.0,4760.0,54705.0,50661.0,3465.0,175.0,338.0,10.0,56.0
80,165,702,85,2,211857482296579_547702162660125,,,,,,,,33803.0,25456.0,134420.0,112555.0,20258.0,379.0,782.0,115.0,331.0
81,167,703,86,2,211857482296579_1666720890143557,,,,,,,,7945.0,16024.0,194143.0,176893.0,15779.0,1151.0,261.0,11.0,48.0
82,169,704,87,2,211857482296579_879286055802087,,,,,,,,17045.0,21378.0,137963.0,113300.0,22906.0,463.0,1145.0,43.0,106.0
83,171,705,88,2,211857482296579_1665766790238967,,,,,,,,16226.0,25033.0,204105.0,162839.0,35445.0,1023.0,4701.0,29.0,68.0
84,173,706,89,2,211857482296579_2686797954710495,,,,,,,,16195.0,8261.0,79839.0,65718.0,13365.0,263.0,410.0,19.0,64.0
85,175,707,90,2,211857482296579_2239545052817456,,,,,,,,2763.0,2001.0,33802.0,28341.0,5132.0,126.0,169.0,5.0,29.0
86,177,708,91,2,211857482296579_1663830393765940,,,,,,,,51856.0,34662.0,434084.0,382724.0,45221.0,3998.0,1834.0,94.0,213.0
87,179,709,92,2,211857482296579_1662477187234594,,,,,,,,3832.0,24106.0,73397.0,65639.0,6926.0,693.0,108.0,9.0,22.0
88,181,710,93,2,211857482296579_1662547707227542,,,,,,,,11954.0,30990.0,142368.0,120945.0,17281.0,3322.0,344.0,140.0,336.0
89,183,711,94,2,211857482296579_1662328417249471,,,,,,,,5369.0,10269.0,125143.0,114630.0,8869.0,970.0,464.0,146.0,64.0
90,185,712,95,2,211857482296579_1662294510586195,,,,,,,,3036.0,14039.0,62024.0,56792.0,4717.0,443.0,51.0,4.0,17.0
91,187,713,96,2,211857482296579_1661729123976067,,,,,,,,9658.0,24465.0,198003.0,181340.0,15067.0,505.0,996.0,47.0,48.0
92,189,714,97,2,211857482296579_1661057797376533,,,,,,,,4240.0,7897.0,83107.0,75306.0,6764.0,644.0,327.0,22.0,44.0
93,191,715,98,2,211857482296579_1660606094088370,,,,,,,,4148.0,19403.0,79469.0,71507.0,7274.0,422.0,226.0,13.0,27.0
94,193,716,99,2,211857482296579_1659703837511929,,,,,,,,2136.0,8891.0,41949.0,38739.0,2926.0,228.0,43.0,2.0,11.0
95,195,717,100,2,211857482296579_405852793690065,,,,,,,,21298.0,8675.0,112554.0,88545.0,22681.0,287.0,830.0,59.0,152.0
96,197,718,101,2,211857482296579_1658886827593630,,,,,,,,14255.0,27215.0,166552.0,141243.0,22629.0,462.0,1975.0,90.0,153.0
97,199,719,102,2,211857482296579_1658195387662774,,,,,,,,22344.0,12179.0,87379.0,47337.0,721.0,1513.0,16904.0,765.0,20139.0
98,201,720,103,2,211857482296579_1658051317677181,,,,,,,,14293.0,21539.0,151628.0,131172.0,17895.0,375.0,1131.0,694.0,361.0
99,203,721,104,2,211857482296579_1657942287688084,,,,,,,,6524.0,10563.0,100886.0,92236.0,7608.0,736.0,159.0,41.0,106.0
100,206,722,106,2,211857482296579_1226416837541763,,,,,,,,31352.0,12093.0,101079.0,84707.0,14974.0,284.0,764.0,94.0,256.0
101,208,723,107,2,211857482296579_671707273236192,,,,,,,,10588.0,3259.0,45269.0,37275.0,7469.0,110.0,347.0,16.0,52.0
102,210,724,108,2,211857482296579_1655342764614703,,,,,,,,3325.0,9672.0,80960.0,73701.0,6741.0,440.0,59.0,4.0,15.0
103,212,725,109,2,211857482296579_1654863141329332,,,,,,,,4715.0,11699.0,84836.0,77264.0,6737.0,693.0,126.0,3.0,13.0
104,214,726,110,2,211857482296579_1654170471398599,,,,,,,,6654.0,33828.0,79157.0,68572.0,9606.0,647.0,218.0,14.0,100.0
105,216,727,111,2,211857482296579_1653364371479209,,,,,,,,16145.0,12530.0,99106.0,69713.0,619.0,561.0,20555.0,337.0,7321.0
106,218,728,112,2,211857482296579_1651092905039689,,,,,,,,6198.0,15093.0,101744.0,93399.0,7335.0,727.0,186.0,27.0,70.0
107,220,729,113,2,211857482296579_540649220065233,,,,,,,,28253.0,17184.0,115268.0,95955.0,17554.0,367.0,1183.0,46.0,163.0
108,222,730,114,2,211857482296579_2797199277007941,,,,,,,,16101.0,4673.0,63092.0,50763.0,11648.0,176.0,402.0,25.0,78.0
109,224,731,115,2,211857482296579_1648223218659991,,,,,,,,16122.0,82709.0,251491.0,214317.0,29798.0,1724.0,5546.0,29.0,77.0
110,226,732,116,2,211857482296579_1648022965346683,,,,,,,,2967.0,5560.0,68502.0,63254.0,4750.0,406.0,76.0,4.0,12.0
111,228,733,117,2,211857482296579_551095902382043,,,,,,,,23504.0,14005.0,109118.0,90124.0,17945.0,380.0,515.0,35.0,119.0
112,230,734,118,2,211857482296579_1003310390021123,,,,,,,,20007.0,6135.0,75262.0,59737.0,14802.0,200.0,383.0,29.0,111.0
113,232,735,119,2,211857482296579_568946510544840,,,,,,,,64281.0,25360.0,133491.0,107541.0,23841.0,422.0,1121.0,141.0,425.0
114,234,736,120,2,211857482296579_1646787988803514,,,,,,,,3942.0,17582.0,56116.0,50512.0,4890.0,640.0,64.0,2.0,8.0
115,236,737,121,2,211857482296579_484583002267808,,,,,,,,33601.0,11491.0,110919.0,85584.0,24037.0,358.0,737.0,47.0,156.0
116,238,738,122,2,211857482296579_1645058082309838,,,,,,,,16557.0,25666.0,218860.0,193975.0,22907.0,1178.0,751.0,14.0,35.0
117,240,739,123,2,211857482296579_1643609219121391,,,,,,,,6298.0,5315.0,66055.0,59803.0,5599.0,496.0,128.0,10.0,19.0
118,242,740,124,2,211857482296579_558804064888548,,,,,,,,208949.0,135673.0,319781.0,239563.0,57799.0,2026.0,15988.0,1814.0,2591.0
119,244,741,125,2,211857482296579_1642282772587369,,,,,,,,2096.0,4962.0,53995.0,50038.0,3511.0,325.0,102.0,2.0,17.0
120,246,742,126,2,211857482296579_1641450462670600,,,,,,,,1693.0,6764.0,46117.0,42686.0,3042.0,332.0,51.0,0.0,6.0
121,248,743,127,2,211857482296579_1640694956079484,,,,,,,,5965.0,17160.0,154888.0,141689.0,11786.0,1212.0,166.0,7.0,28.0
122,250,744,128,2,211857482296579_1640614872754159,,,,,,,,912.0,3657.0,25881.0,24154.0,1522.0,179.0,21.0,1.0,4.0
123,252,745,129,2,211857482296579_1640225626126417,,,,,,,,4364.0,19348.0,120685.0,106346.0,5731.0,297.0,8154.0,44.0,113.0
124,254,746,130,2,211857482296579_1638292332986413,,,,,,,,1150.0,6291.0,38054.0,35193.0,2551.0,265.0,31.0,4.0,10.0
125,257,747,132,2,211857482296579_1637982586350721,,,,,,,,4910.0,23716.0,64192.0,55488.0,547.0,696.0,853.0,1390.0,5218.0
126,259,748,133,2,211857482296579_1636286556520324,,,,,,,,4214.0,8226.0,79818.0,73516.0,5306.0,865.0,85.0,25.0,21.0
127,261,749,134,2,211857482296579_1635678946581085,,,,,,,,2485.0,8612.0,44568.0,40905.0,3280.0,308.0,55.0,6.0,14.0
128,263,750,135,2,211857482296579_1635440629938250,,,,,,,,11423.0,28778.0,167566.0,148267.0,17261.0,1570.0,357.0,22.0,89.0
129,265,751,136,2,211857482296579_1634149506734029,,,,,,,,17233.0,17239.0,221351.0,99358.0,6404.0,489.0,114908.0,68.0,124.0
130,267,752,137,2,211857482296579_1633609203454726,,,,,,,,4060.0,9007.0,67644.0,61202.0,4752.0,315.0,1192.0,32.0,151.0
131,269,753,138,2,211857482296579_1633296856819294,,,,,,,,15856.0,16164.0,218679.0,192516.0,22849.0,795.0,1440.0,404.0,675.0
132,271,754,139,2,211857482296579_1632526993562947,,,,,,,,3801.0,5232.0,78278.0,73075.0,4571.0,481.0,114.0,6.0,31.0
133,273,755,140,2,211857482296579_1632134316935548,,,,,,,,9498.0,10973.0,171476.0,154465.0,13507.0,949.0,2471.0,21.0,63.0
134,275,756,141,2,211857482296579_1631984786950501,,,,,,,,4227.0,12852.0,84402.0,75670.0,7379.0,293.0,1030.0,6.0,24.0
135,277,757,142,2,211857482296579_1631799360302377,,,,,,,,4635.0,12672.0,95070.0,88346.0,5630.0,918.0,121.0,18.0,37.0
136,279,758,143,2,211857482296579_1628845390597774,,,,,,,,1959.0,6100.0,35196.0,32674.0,2239.0,198.0,67.0,6.0,12.0
137,281,759,144,2,211857482296579_1628353690646944,,,,,,,,6245.0,16450.0,160224.0,149150.0,9835.0,1032.0,184.0,8.0,15.0
138,283,760,145,2,211857482296579_1627727277376252,,,,,,,,1505.0,7851.0,39468.0,36775.0,2421.0,205.0,56.0,4.0,7.0
139,285,761,146,2,211857482296579_443291459626608,,,,,,,,14804.0,15739.0,74950.0,65319.0,8910.0,229.0,241.0,117.0,134.0
140,287,762,147,2,211857482296579_1627022810780032,,,,,,,,10190.0,72167.0,138943.0,120672.0,6172.0,1122.0,9231.0,252.0,1494.0
141,289,763,148,2,211857482296579_800217607062140,,,,,,,,32588.0,20410.0,118303.0,99774.0,16356.0,343.0,1379.0,92.0,359.0
142,291,764,149,2,211857482296579_1625166914298955,,,,,,,,11750.0,13711.0,190006.0,166553.0,15396.0,587.0,6964.0,70.0,436.0
143,293,765,150,2,211857482296579_1624973027651677,,,,,,,,7308.0,29405.0,93223.0,82267.0,10013.0,751.0,123.0,25.0,44.0
144,295,766,151,2,211857482296579_1624818044333842,,,,,,,,1433.0,6019.0,28247.0,26417.0,1614.0,186.0,21.0,0.0,9.0
145,297,767,152,2,211857482296579_561739911231674,,,,,,,,8194.0,2963.0,29425.0,25137.0,4045.0,118.0,66.0,12.0,47.0
146,299,768,153,2,211857482296579_1624395264376120,,,,,,,,2244.0,4672.0,54147.0,50640.0,3105.0,310.0,77.0,3.0,12.0
147,301,769,154,2,211857482296579_416247495703089,,,,,,,,26789.0,14940.0,76178.0,63991.0,11419.0,250.0,333.0,51.0,134.0
148,303,770,155,2,211857482296579_1623601827788797,,,,,,,,3872.0,17458.0,62494.0,57462.0,4384.0,392.0,95.0,32.0,129.0
149,305,771,156,2,211857482296579_1622312444584402,,,,,,,,3194.0,5462.0,57452.0,53029.0,3886.0,393.0,118.0,7.0,19.0
150,308,772,158,2,211857482296579_2275970506048844,,,,,,,,10260.0,5415.0,53106.0,43977.0,8487.0,148.0,418.0,18.0,58.0
151,310,773,159,2,211857482296579_1620938328055147,,,,,,,,15947.0,86457.0,230434.0,207153.0,17775.0,4904.0,481.0,42.0,79.0
152,312,774,160,2,211857482296579_1620585258090454,,,,,,,,27670.0,82498.0,217415.0,173057.0,42423.0,1540.0,240.0,124.0,31.0
153,314,775,161,2,211857482296579_1619965518152428,,,,,,,,11807.0,44306.0,230337.0,200312.0,27850.0,1461.0,330.0,286.0,98.0
154,316,776,162,2,211857482296579_1619847324830914,,,,,,,,14449.0,60928.0,216535.0,190406.0,23685.0,1485.0,579.0,81.0,299.0
155,318,777,163,2,211857482296579_1619121578236822,,,,,,,,4650.0,40185.0,81659.0,75483.0,2835.0,1272.0,306.0,1064.0,699.0
156,320,778,164,2,211857482296579_1618700834945563,,,,,,,,4034.0,5019.0,48087.0,42823.0,4772.0,369.0,105.0,2.0,16.0
157,322,779,165,2,211857482296579_1618556824959964,,,,,,,,1304.0,6103.0,28360.0,25997.0,2159.0,163.0,30.0,2.0,9.0
158,324,780,166,2,211857482296579_1617476671734646,,,,,,,,3060.0,13422.0,69038.0,61936.0,5501.0,244.0,1348.0,1.0,8.0
159,326,781,167,2,211857482296579_396196017719671,,,,,,,,26492.0,9761.0,60730.0,49478.0,10228.0,174.0,641.0,38.0,171.0
160,328,782,168,2,211857482296579_1616849485130698,,,,,,,,4233.0,8956.0,84213.0,78809.0,4557.0,611.0,207.0,11.0,18.0
161,330,783,169,2,211857482296579_1616737121808601,,,,,,,,4923.0,10147.0,82278.0,76072.0,5307.0,691.0,157.0,37.0,14.0
162,332,784,170,2,211857482296579_1616690295146617,,,,,,,,1697.0,5634.0,40651.0,37418.0,2301.0,178.0,742.0,6.0,6.0
163,334,785,171,2,211857482296579_1616451495170497,,,,,,,,14644.0,12017.0,160408.0,140651.0,17522.0,389.0,1730.0,28.0,88.0
164,336,786,172,2,211857482296579_1615691475246499,,,,,,,,1201.0,2396.0,28844.0,27170.0,1519.0,135.0,17.0,0.0,3.0
165,338,787,173,2,211857482296579_1614928798656100,,,,,,,,1894.0,10372.0,27179.0,24405.0,898.0,97.0,16.0,1677.0,86.0
166,340,788,174,2,211857482296579_1614705632011750,,,,,,,,956.0,2075.0,25211.0,23832.0,1000.0,333.0,21.0,11.0,14.0
167,342,789,175,2,211857482296579_1614077208741259,,,,,,,,3272.0,8399.0,52875.0,48936.0,3468.0,331.0,118.0,3.0,19.0
168,344,790,176,2,211857482296579_1613905758758404,,,,,,,,3741.0,3764.0,58002.0,54007.0,3667.0,215.0,98.0,3.0,12.0
169,346,791,177,2,211857482296579_1613060622176251,,,,,,,,852.0,2832.0,19188.0,17695.0,1346.0,109.0,26.0,0.0,12.0
170,348,792,178,2,211857482296579_1612571762225137,,,,,,,,2746.0,5555.0,63194.0,59209.0,3353.0,145.0,448.0,9.0,30.0
171,350,793,179,2,211857482296579_1612502855565361,,,,,,,,3166.0,9556.0,51235.0,46840.0,3939.0,342.0,102.0,3.0,9.0
172,352,794,180,2,211857482296579_1612346765580970,,,,,,,,5901.0,6358.0,58497.0,52494.0,2288.0,206.0,2992.0,95.0,422.0
173,354,795,181,2,211857482296579_1611756278973352,,,,,,,,4439.0,12214.0,85493.0,77265.0,5935.0,2006.0,233.0,20.0,34.0
174,356,796,182,2,211857482296579_1610869692395344,,,,,,,,1818.0,9850.0,39612.0,36346.0,2913.0,195.0,132.0,8.0,18.0
175,359,797,184,2,211857482296579_531572270978902,,,,,,,,27989.0,9472.0,54845.0,45833.0,8267.0,166.0,335.0,65.0,179.0
176,361,798,185,2,211857482296579_1609580612524252,,,,,,,,2673.0,7645.0,59545.0,54789.0,4220.0,473.0,54.0,1.0,8.0
177,363,799,186,2,211857482296579_1609107972571516,,,,,,,,6919.0,10470.0,87039.0,82673.0,2399.0,351.0,840.0,506.0,270.0
178,365,800,187,2,211857482296579_1608606472621666,,,,,,,,7262.0,13867.0,131028.0,118597.0,10033.0,652.0,1675.0,11.0,60.0
179,367,801,188,2,211857482296579_1608503912631922,,,,,,,,2028.0,3127.0,42401.0,39610.0,2351.0,314.0,103.0,5.0,18.0
180,369,802,189,2,211857482296579_1296930870476558,,,,,,,,11088.0,3591.0,48040.0,40224.0,7355.0,118.0,259.0,14.0,70.0
181,371,803,190,2,211857482296579_1608108739338106,,,,,,,,6018.0,11125.0,90817.0,83693.0,6431.0,276.0,389.0,6.0,22.0
182,373,804,191,2,211857482296579_1606316696183977,,,,,,,,7866.0,13509.0,56766.0,46020.0,6484.0,171.0,4023.0,12.0,56.0
183,375,805,192,2,211857482296579_2540818359475134,,,,,,,,10658.0,4579.0,48992.0,40807.0,7632.0,116.0,348.0,17.0,72.0
184,377,806,193,2,211857482296579_1605380412944272,,,,,,,,4498.0,9367.0,50926.0,46214.0,4139.0,386.0,148.0,14.0,25.0
185,379,807,194,2,211857482296579_1604780736337573,,,,,,,,1145.0,3552.0,23838.0,22240.0,1414.0,158.0,16.0,1.0,9.0
186,381,808,195,2,211857482296579_1604429486372698,,,,,,,,3394.0,8896.0,57548.0,50753.0,6169.0,330.0,208.0,16.0,72.0
187,383,809,196,2,211857482296579_1604134116402235,,,,,,,,2391.0,3860.0,25389.0,23815.0,747.0,140.0,423.0,75.0,189.0
188,385,810,197,2,211857482296579_457770558174368,,,,,,,,16733.0,9147.0,73130.0,61560.0,10730.0,266.0,453.0,29.0,92.0
189,387,811,198,2,211857482296579_456121768331329,,,,,,,,12205.0,5015.0,49963.0,40971.0,8138.0,148.0,552.0,49.0,105.0
190,389,812,199,2,211857482296579_1602474596568187,,,,,,,,5433.0,8730.0,82856.0,74439.0,5377.0,232.0,2646.0,31.0,131.0
191,391,813,200,2,211857482296579_1602440679904912,,,,,,,,10111.0,63031.0,96701.0,86311.0,8446.0,714.0,1028.0,30.0,172.0
192,393,814,201,2,211857482296579_527026854767047,,,,,,,,31667.0,11262.0,62700.0,50894.0,10876.0,217.0,426.0,65.0,222.0
